Date,Name,Title,Link,pdf,Web Index,ID,sentiment_binary,compound,sentiment
2010-03-16,William C Dudley, The longer-term challenges ahead,https://www.bis.org/review/r100316a.pdf,https://www.bis.org/review/r100316a.pdf,1176,r100316a.pdf,1.0,0.9993,pos
2010-03-17,Gertrude Tumpel-Gugerell, European Union funded cooperation programme between the European Central Bank and the Central Bank of Bosnia and Herzegovina,https://www.bis.org/review/r100317e.pdf,https://www.bis.org/review/r100317e.pdf,1176,r100317e.pdf,1.0,0.9992,pos
2010-03-17,Caleb M Fundanga, The role of Bank of Zambia in sensitising and protection of consumers regarding banking and financial services,https://www.bis.org/review/r100317c.pdf,https://www.bis.org/review/r100317c.pdf,1176,r100317c.pdf,1.0,0.9987,pos
2010-03-17,Perks Ligoya, Improving access to credit in Malawi,https://www.bis.org/review/r100317b.pdf,https://www.bis.org/review/r100317b.pdf,1176,r100317b.pdf,1.0,0.9993,pos
2010-03-17,Jürgen Stark, Economic recovery and exit strategies,https://www.bis.org/review/r100317d.pdf,https://www.bis.org/review/r100317d.pdf,1176,r100317d.pdf,0.0,-0.817,neg
2010-03-17,"Amando M Tetangco, Jr", Moving the economy forward through banking,https://www.bis.org/review/r100317a.pdf,https://www.bis.org/review/r100317a.pdf,1176,r100317a.pdf,1.0,0.9992,pos
2010-04-08,Subir Gokarn," People, jobs and productivity - the ""simple"" dynamics of inclusive growth",https://www.bis.org/review/r100408d.pdf,https://www.bis.org/review/r100408d.pdf,1169,r100408d.pdf,1.0,0.9999,pos
2010-04-08,Ben S Bernanke," Economic challenges - past, present, and future",https://www.bis.org/review/r100408a.pdf,https://www.bis.org/review/r100408a.pdf,1169,r100408a.pdf,1.0,0.9992,pos
2010-04-08,Elizabeth A Duke, Restoring credit to communities,https://www.bis.org/review/r100408e.pdf,https://www.bis.org/review/r100408e.pdf,1169,r100408e.pdf,1.0,0.9999,pos
2010-04-08,Njuguna Ndung'u, Growing agriculture through finance,https://www.bis.org/review/r100408c.pdf,https://www.bis.org/review/r100408c.pdf,1169,r100408c.pdf,1.0,0.9978,pos
2010-04-08,Duvvuri Subbarao, Looking back and looking ahead,https://www.bis.org/review/r100408b.pdf,https://www.bis.org/review/r100408b.pdf,1169,r100408b.pdf,1.0,0.9995,pos
2010-04-09,Zeti Akhtar Aziz, Strengthening of regional integration in Asia,https://www.bis.org/review/r100409b.pdf,https://www.bis.org/review/r100409b.pdf,1169,r100409b.pdf,1.0,0.9997,pos
2010-04-09,William C Dudley, Asset bubbles and the implications for central bank policy,https://www.bis.org/review/r100409c.pdf,https://www.bis.org/review/r100409c.pdf,1169,r100409c.pdf,1.0,0.9999,pos
2010-04-09,Deepak Mohanty, Implementation of monetary policy in India,https://www.bis.org/review/r100409d.pdf,https://www.bis.org/review/r100409d.pdf,1169,r100409d.pdf,1.0,0.9998,pos
2010-04-09,Njuguna Ndung'u, Investing differently in women,https://www.bis.org/review/r100409e.pdf,https://www.bis.org/review/r100409e.pdf,1169,r100409e.pdf,1.0,0.9971,pos
2010-04-12,Emmanuel Tumusiime-Mutebile, Foreign reserve management,https://www.bis.org/review/r100412c.pdf,https://www.bis.org/review/r100412c.pdf,1168,r100412c.pdf,1.0,0.9987,pos
2010-04-12,Ben S Bernanke, Economic policy - lessons from history,https://www.bis.org/review/r100412a.pdf,https://www.bis.org/review/r100412a.pdf,1168,r100412a.pdf,1.0,0.9169,pos
2010-04-12,K C Chakrabarty, Talent management in the Indian banking system,https://www.bis.org/review/r100412d.pdf,https://www.bis.org/review/r100412d.pdf,1168,r100412d.pdf,1.0,0.9999,pos
2010-04-12,Daniel K Tarullo, The present and future of community banking,https://www.bis.org/review/r100412e.pdf,https://www.bis.org/review/r100412e.pdf,1168,r100412e.pdf,1.0,0.9977,pos
2010-04-13,Elizabeth A Duke, The importance of financial education,https://www.bis.org/review/r100413d.pdf,https://www.bis.org/review/r100413d.pdf,1168,r100413d.pdf,1.0,0.9994,pos
2010-04-13,Njuguna Ndung'u, Costs of collateral in Kenya,https://www.bis.org/review/r100413b.pdf,https://www.bis.org/review/r100413b.pdf,1168,r100413b.pdf,1.0,0.9993,pos
2010-04-13,Lorenzo Bini Smaghi, Could monetary policy have helped prevent the financial crisis?,https://www.bis.org/review/r100413e.pdf,https://www.bis.org/review/r100413e.pdf,1168,r100413e.pdf,1.0,0.9996,pos
2010-04-13,Emmanuel Tumusiime-Mutebile, Increasing information sharing through MOUs,https://www.bis.org/review/r100413c.pdf,https://www.bis.org/review/r100413c.pdf,1168,r100413c.pdf,1.0,0.9989,pos
2010-04-21,Caleb M Fundanga, Improved economic and financial developments in Zambia,https://www.bis.org/review/r100421b.pdf,https://www.bis.org/review/r100421b.pdf,1164,r100421b.pdf,1.0,0.997,pos
2010-04-21,Thomas Jordan, Structures of a new financial system,https://www.bis.org/review/r100421c.pdf,https://www.bis.org/review/r100421c.pdf,1164,r100421c.pdf,1.0,0.8577,pos
2010-04-21,Miguel Fernandez Ordonez, The restructuring of the financial system,https://www.bis.org/review/r100421a.pdf,https://www.bis.org/review/r100421a.pdf,1164,r100421a.pdf,1.0,0.9993,pos
2010-04-22,Masaaki Shirakawa, Japan's economy and the conduct of monetary policy,https://www.bis.org/review/r100422b.pdf,https://www.bis.org/review/r100422b.pdf,1164,r100422b.pdf,1.0,0.998,pos
2010-04-22,Ben S Bernanke, Lessons from the failure of Lehman Brothers,https://www.bis.org/review/r100422a.pdf,https://www.bis.org/review/r100422a.pdf,1164,r100422a.pdf,0.0,-0.8579,neg
2010-04-22,Njuguna Ndung'u, The future of financial service delivery in Kenya,https://www.bis.org/review/r100422c.pdf,https://www.bis.org/review/r100422c.pdf,1164,r100422c.pdf,1.0,0.9984,pos
2010-04-22,Gertrude Tumpel-Gugerell, The Euro Exhibition at the Banque centrale du Luxembourg,https://www.bis.org/review/r100422e.pdf,https://www.bis.org/review/r100422e.pdf,1164,r100422e.pdf,1.0,0.9959,pos
2010-04-22,Elizabeth A Duke, Issues in economic development,https://www.bis.org/review/r100422d.pdf,https://www.bis.org/review/r100422d.pdf,1164,r100422d.pdf,1.0,0.9997,pos
2010-04-23,Muhammad Al-Jasser, Overview of the Islamic banking industry,https://www.bis.org/review/r100423b.pdf,https://www.bis.org/review/r100423b.pdf,1164,r100423b.pdf,1.0,0.9996,pos
2010-04-23,Muhammad bin Ibrahim," Today's risks, tomorrow's claims",https://www.bis.org/review/r100423f.pdf,https://www.bis.org/review/r100423f.pdf,1164,r100423f.pdf,0.0,-0.3029,neg
2010-05-05,Zeti Akhtar Aziz, Thoughts and visions on Islamic finance,https://www.bis.org/review/r100505a.pdf,https://www.bis.org/review/r100505a.pdf,1159,r100505a.pdf,1.0,0.9982,pos
2010-05-06,Emmanuel Tumusiime-Mutebile, Secure banknotes vis-à-vis non-cash instruments in Uganda,https://www.bis.org/review/r100506c.pdf,https://www.bis.org/review/r100506c.pdf,1159,r100506c.pdf,1.0,0.9991,pos
2010-05-06,Daniel Mminele, A perspective on South African monetary policy,https://www.bis.org/review/r100506d.pdf,https://www.bis.org/review/r100506d.pdf,1159,r100506d.pdf,1.0,0.9996,pos
2010-05-06,Stanley Fischer, Challenges confronting the Bank of Israel and the economy,https://www.bis.org/review/r100506b.pdf,https://www.bis.org/review/r100506b.pdf,1159,r100506b.pdf,1.0,0.9997,pos
2010-05-06,Gertrude Tumpel-Gugerell, SEPA for cards - more than a symbol of SEPA's success,https://www.bis.org/review/r100506e.pdf,https://www.bis.org/review/r100506e.pdf,1159,r100506e.pdf,1.0,0.9998,pos
2010-05-07,Eric S Rosengren, Considering the routes to a policy destination,https://www.bis.org/review/r100507e.pdf,https://www.bis.org/review/r100507e.pdf,1159,r100507e.pdf,1.0,0.9995,pos
2010-05-07,European Central Bank, Press conference - introductory statement,https://www.bis.org/review/r100507b.pdf,https://www.bis.org/review/r100507b.pdf,1159,r100507b.pdf,1.0,0.9991,pos
2010-05-07,Gill Marcus, The outlook for monetary policy,https://www.bis.org/review/r100507d.pdf,https://www.bis.org/review/r100507d.pdf,1159,r100507d.pdf,1.0,0.9939,pos
2010-05-07,Ben S Bernanke, The supervisory capital assessment program - one year later,https://www.bis.org/review/r100507a.pdf,https://www.bis.org/review/r100507a.pdf,1158,r100507a.pdf,1.0,0.9994,pos
2010-05-10,Már Guðmundsson, The Icelandic pension system and the financial crisis,https://www.bis.org/review/r100510b.pdf,https://www.bis.org/review/r100510b.pdf,1158,r100510b.pdf,1.0,0.9928,pos
2010-05-10,Jean-Claude Trichet, What role for finance?,https://www.bis.org/review/r100510a.pdf,https://www.bis.org/review/r100510a.pdf,1158,r100510a.pdf,1.0,0.9997,pos
2010-05-10,Xolile P Guma, South Africa's macroprudential policy framework and economic overview,https://www.bis.org/review/r100510f.pdf,https://www.bis.org/review/r100510f.pdf,1158,r100510f.pdf,1.0,0.9884,pos
2010-05-10,John Murray, Is there a commodity curse? Lessons from the past,https://www.bis.org/review/r100510e.pdf,https://www.bis.org/review/r100510e.pdf,1158,r100510e.pdf,1.0,0.9996,pos
2010-05-10,Ewart S Williams, The future of the financial industry after the crisis,https://www.bis.org/review/r100510c.pdf,https://www.bis.org/review/r100510c.pdf,1158,r100510c.pdf,1.0,0.9949,pos
2010-05-10,Caleb M Fundanga, Measures to improve financial regulation and supervision of the financial system in Zambia,https://www.bis.org/review/r100510d.pdf,https://www.bis.org/review/r100510d.pdf,1158,r100510d.pdf,1.0,0.9976,pos
2010-05-11,Thomas M Hoenig, Leverage - the double-edged sword,https://www.bis.org/review/r100511e.pdf,https://www.bis.org/review/r100511e.pdf,1158,r100511e.pdf,0.0,-0.9985,neg
2010-05-11,Arnór Sighvatsson," Capital controls, fiscal policy and economic recovery",https://www.bis.org/review/r100511d.pdf,https://www.bis.org/review/r100511d.pdf,1158,r100511d.pdf,1.0,0.9985,pos
2010-05-11,Ma Delun, Urban and rural integration in China,https://www.bis.org/review/r100511c.pdf,https://www.bis.org/review/r100511c.pdf,1158,r100511c.pdf,1.0,0.9995,pos
2010-05-17,Njuguna S Ndung'u, Collaboration among domestic financial sector regulators,https://www.bis.org/review/r100517c.pdf,https://www.bis.org/review/r100517c.pdf,1156,r100517c.pdf,1.0,0.9977,pos
2010-05-17,Duvvuri Subbarao, Volatility in capital flows - some perspectives,https://www.bis.org/review/r100517b.pdf,https://www.bis.org/review/r100517b.pdf,1156,r100517b.pdf,1.0,0.8688,pos
2010-05-17,Donald L Kohn, Federal Reserve's policy actions during the financial crisis and lessons for the future,https://www.bis.org/review/r100517d.pdf,https://www.bis.org/review/r100517d.pdf,1156,r100517d.pdf,1.0,0.9997,pos
2010-05-18,Axel A Weber, Lessons for monetary policy from the financial crisis,https://www.bis.org/review/r100518a.pdf,https://www.bis.org/review/r100518a.pdf,1156,r100518a.pdf,1.0,0.9996,pos
2010-05-18,Philip Lowe, Recent economic developments,https://www.bis.org/review/r100518f.pdf,https://www.bis.org/review/r100518f.pdf,1156,r100518f.pdf,1.0,0.9999,pos
2010-05-18,Michael C Bonello, Nexus of Basel II and financial stability,https://www.bis.org/review/r100518d.pdf,https://www.bis.org/review/r100518d.pdf,1156,r100518d.pdf,1.0,0.9924,pos
2010-05-18,Rasheed Mohammed Al Maraj, Global financial architecture - challenges for Islamic finance,https://www.bis.org/review/r100518c.pdf,https://www.bis.org/review/r100518c.pdf,1156,r100518c.pdf,1.0,0.9926,pos
2010-05-19,Muhammad Kamran Shehzad, Commercial mediation in emerging markets - role of State Bank in promoting mediation for resolution of banking disputes,https://www.bis.org/review/r100519e.pdf,https://www.bis.org/review/r100519e.pdf,1156,r100519e.pdf,1.0,0.9996,pos
2010-05-21,Jean-Claude Trichet, The great financial crisis - lessons for financial stability and monetary policy,https://www.bis.org/review/r100521a.pdf,https://www.bis.org/review/r100521a.pdf,1154,r100521a.pdf,1.0,0.9975,pos
2010-05-21,Zeti Akhtar Aziz, The transformation of the international financial system and the role of the Islamic financial system,https://www.bis.org/review/r100521b.pdf,https://www.bis.org/review/r100521b.pdf,1154,r100521b.pdf,1.0,0.9996,pos
2010-05-21,Lars Nyberg, Monetary policy and house prices,https://www.bis.org/review/r100521d.pdf,https://www.bis.org/review/r100521d.pdf,1154,r100521d.pdf,1.0,0.9995,pos
2010-05-21,Budi Mulya, Indonesia - pursuing a better shape of the economy,https://www.bis.org/review/r100521e.pdf,https://www.bis.org/review/r100521e.pdf,1154,r100521e.pdf,1.0,0.9997,pos
2010-05-21,Daniel K Tarullo, International response to European debt problems,https://www.bis.org/review/r100521f.pdf,https://www.bis.org/review/r100521f.pdf,1154,r100521f.pdf,0.0,-0.9943,neg
2010-05-21,Thomas Jordan, Current monetary policy and its significance for the real economy,https://www.bis.org/review/r100521c.pdf,https://www.bis.org/review/r100521c.pdf,1154,r100521c.pdf,1.0,0.7972,pos
2010-05-25,"Amando M Tetangco, Jr", Empowering entrepreneurial Filipinos thru microfinance,https://www.bis.org/review/r100525d.pdf,https://www.bis.org/review/r100525d.pdf,1154,r100525d.pdf,1.0,0.9994,pos
2010-05-25,K C Chakrabarty," Bank credit to Micro, Small and Medium Enterprises (MSMEs) - present status and way forward",https://www.bis.org/review/r100525e.pdf,https://www.bis.org/review/r100525e.pdf,1154,r100525e.pdf,1.0,0.9999,pos
2010-05-25,Jean-Claude Trichet, Interview in Frankfurter Allgemeine Zeitung (FAZ),https://www.bis.org/review/r100525b.pdf,https://www.bis.org/review/r100525b.pdf,1154,r100525b.pdf,1.0,0.3797,pos
2010-05-25,Vitor Constancio, Common European values and monetary policy to reinforce the euro area,https://www.bis.org/review/r100525c.pdf,https://www.bis.org/review/r100525c.pdf,1154,r100525c.pdf,1.0,0.9973,pos
2010-05-25,William C Dudley, Address to the New College Class of 2010,https://www.bis.org/review/r100525a.pdf,https://www.bis.org/review/r100525a.pdf,1153,r100525a.pdf,1.0,0.9998,pos
2010-05-27,Sultan Bin Nasser Al-Suwaidi, The regulatory partnerships for sustained growth in the MENASA Area,https://www.bis.org/review/r100527e.pdf,https://www.bis.org/review/r100527e.pdf,1153,r100527e.pdf,1.0,0.9997,pos
2010-05-27,Anselmo L S Teng, The international financial crisis - impact on Asia and lessons for Macao,https://www.bis.org/review/r100527d.pdf,https://www.bis.org/review/r100527d.pdf,1153,r100527d.pdf,1.0,0.9989,pos
2010-05-27,Ben S Bernanke," Central bank independence, transparency, and accountability",https://www.bis.org/review/r100527a.pdf,https://www.bis.org/review/r100527a.pdf,1153,r100527a.pdf,1.0,0.9999,pos
2010-05-27,Masaaki Shirakawa, Future of central banks and central banking,https://www.bis.org/review/r100527b.pdf,https://www.bis.org/review/r100527b.pdf,1153,r100527b.pdf,1.0,0.9436,pos
2010-05-27,Jose De Gregorio, Tackling the capital inflow challenge,https://www.bis.org/review/r100527c.pdf,https://www.bis.org/review/r100527c.pdf,1153,r100527c.pdf,1.0,0.9994,pos
2010-05-28,Pierre Duguay, The Bank of Canada's perspective on the penny,https://www.bis.org/review/r100528c.pdf,https://www.bis.org/review/r100528c.pdf,1153,r100528c.pdf,1.0,0.9945,pos
2010-05-28,Michael C Bonello, The Maltese economy - the recession and the challenges beyond,https://www.bis.org/review/r100528b.pdf,https://www.bis.org/review/r100528b.pdf,1153,r100528b.pdf,1.0,0.9975,pos
2010-05-28,Jose Manuel Gonzalez-Paramo, The challenges of credit risk management - lessons learned from the crisis,https://www.bis.org/review/r100528d.pdf,https://www.bis.org/review/r100528d.pdf,1153,r100528d.pdf,1.0,0.9976,pos
2010-05-28,Durmus Yilmaz," Global crisis, restructuring and national transformation",https://www.bis.org/review/r100528a.pdf,https://www.bis.org/review/r100528a.pdf,1152,r100528a.pdf,1.0,0.9925,pos
2010-05-28,"Thomas C Baxter, Jr and Sarah J Dahlgren", The Federal Reserve Bank of New York's involvement with the American International Group (AIG),https://www.bis.org/review/r100528e.pdf,https://www.bis.org/review/r100528e.pdf,1153,r100528e.pdf,1.0,0.9995,pos
2010-06-01,Jean-Claude Trichet, Central bank cooperation after the global financial crisis,https://www.bis.org/review/r100601d.pdf,https://www.bis.org/review/r100601d.pdf,1152,r100601d.pdf,1.0,0.9973,pos
2010-06-01,Ben S Bernanke, The policy response to the crisis in Korea and other emerging market economies,https://www.bis.org/review/r100601a.pdf,https://www.bis.org/review/r100601a.pdf,1152,r100601a.pdf,1.0,0.9963,pos
2010-06-01,Zeti Akhtar Aziz, The mandate and roles of Asian central banks,https://www.bis.org/review/r100601e.pdf,https://www.bis.org/review/r100601e.pdf,1152,r100601e.pdf,1.0,0.9989,pos
2010-06-01,Masaaki Shirakawa, Japan's economy and innovation,https://www.bis.org/review/r100601c.pdf,https://www.bis.org/review/r100601c.pdf,1152,r100601c.pdf,1.0,1.0,pos
2010-06-02,Lucas Papademos, Assessment of identified risks to the euro area financial system and the capacity to absorb disturbances,https://www.bis.org/review/r100602f.pdf,https://www.bis.org/review/r100602f.pdf,1152,r100602f.pdf,1.0,0.9666,pos
2010-06-02,"Amando M Tetangco, Jr", Strengthening financial inclusion and social protection,https://www.bis.org/review/r100602e.pdf,https://www.bis.org/review/r100602e.pdf,1152,r100602e.pdf,1.0,0.9997,pos
2010-06-02,Ewald Nowotny," Central banking after the crisis - responsibilities, strategies, instruments",https://www.bis.org/review/r100602c.pdf,https://www.bis.org/review/r100602c.pdf,1152,r100602c.pdf,1.0,0.9997,pos
2010-06-02,Jean-Claude Trichet, The ECBs response to the recent tensions in financial markets,https://www.bis.org/review/r100602b.pdf,https://www.bis.org/review/r100602b.pdf,1151,r100602b.pdf,1.0,0.9987,pos
2010-06-02,Axel A Weber, International risk sharing and global imbalances,https://www.bis.org/review/r100602a.pdf,https://www.bis.org/review/r100602a.pdf,1151,r100602a.pdf,1.0,0.9747,pos
2010-06-02,Duvvuri Subbarao, Reserve Bank of India archives - way forward,https://www.bis.org/review/r100602d.pdf,https://www.bis.org/review/r100602d.pdf,1152,r100602d.pdf,1.0,0.9998,pos
2010-06-03,Christian Noyer, Central banks in the financial crisis - a European perspective,https://www.bis.org/review/r100603a.pdf,https://www.bis.org/review/r100603a.pdf,1151,r100603a.pdf,1.0,0.9994,pos
2010-06-03,Jean-Claude Trichet, Interview with Le Monde,https://www.bis.org/review/r100603b.pdf,https://www.bis.org/review/r100603b.pdf,1151,r100603b.pdf,1.0,0.9982,pos
2010-06-03,Jose De Gregorio, The role of central banks after the financial crisis,https://www.bis.org/review/r100603c.pdf,https://www.bis.org/review/r100603c.pdf,1151,r100603c.pdf,0.0,-0.9975,neg
2010-06-03,Jean-Pierre Landau, An international financial architecture for the 21st century - some thoughts,https://www.bis.org/review/r100603d.pdf,https://www.bis.org/review/r100603d.pdf,1151,r100603d.pdf,1.0,0.9998,pos
2010-06-03,Zamani Abdul Ghani, Sound risk management to boost bottom line and strengthen resilience,https://www.bis.org/review/r100603e.pdf,https://www.bis.org/review/r100603e.pdf,1151,r100603e.pdf,1.0,0.9678,pos
2010-06-08,"Amando M Tetangco, Jr", Microfinance - from best practice to next practice,https://www.bis.org/review/r100608d.pdf,https://www.bis.org/review/r100608d.pdf,1151,r100608d.pdf,1.0,0.9994,pos
2010-06-08,Usha Thorat, Financial regulation and financial inclusion - working together or at cross-purposes,https://www.bis.org/review/r100608e.pdf,https://www.bis.org/review/r100608e.pdf,1151,r100608e.pdf,1.0,0.9998,pos
2010-06-08,Prof. Njuguna Ndung'u," ""Being a driver of change to invest differently in women""",https://www.bis.org/review/r100608f.pdf,https://www.bis.org/review/r100608f.pdf,1151,r100608f.pdf,1.0,0.999,pos
2010-06-08,Ben S Bernanke, Financing needs of Michigan's small businesses,https://www.bis.org/review/r100608a.pdf,https://www.bis.org/review/r100608a.pdf,1150,r100608a.pdf,1.0,0.9994,pos
2010-06-08,Philipp Hildebrand, Key factors for the Swiss economy - financial market regulation in Switzerland,https://www.bis.org/review/r100608b.pdf,https://www.bis.org/review/r100608b.pdf,1150,r100608b.pdf,0.0,-0.7184,neg
2010-06-09,Elizabeth A Duke, Moving beyond the financial crisis,https://www.bis.org/review/r100609f.pdf,https://www.bis.org/review/r100609f.pdf,1150,r100609f.pdf,1.0,0.999,pos
2010-06-09,Daniel Mminele, The South African Reserve Bank's activities in financial,https://www.bis.org/review/r100609e.pdf,https://www.bis.org/review/r100609e.pdf,1150,r100609e.pdf,1.0,0.9997,pos
2010-06-09,Njuguna Ndung'u, The advantages of mobile phone banking services,https://www.bis.org/review/r100609d.pdf,https://www.bis.org/review/r100609d.pdf,1150,r100609d.pdf,1.0,0.9993,pos
2010-06-09,Ardian Fullani, Economic and financial developments in Albania,https://www.bis.org/review/r100609c.pdf,https://www.bis.org/review/r100609c.pdf,1150,r100609c.pdf,1.0,0.9999,pos
2010-06-09,Glenn Stevens, Recent developments,https://www.bis.org/review/r100609b.pdf,https://www.bis.org/review/r100609b.pdf,1150,r100609b.pdf,1.0,0.9994,pos
2010-06-09,Svein Gjedrem, A diversified economy,https://www.bis.org/review/r100609a.pdf,https://www.bis.org/review/r100609a.pdf,1150,r100609a.pdf,1.0,0.9991,pos
2010-06-10,Ignazio Visco, Financial education in the aftermath of the financial crisis,https://www.bis.org/review/r100610f.pdf,https://www.bis.org/review/r100610f.pdf,1150,r100610f.pdf,1.0,0.9997,pos
2010-06-24,Jean-Claude Trichet, Hearing at the Economic and Monetary Affairs Committee of the European Parliament,https://www.bis.org/review/r100624b.pdf,https://www.bis.org/review/r100624b.pdf,1144,r100624b.pdf,1.0,0.9988,pos
2010-06-24,Philipp M Hildebrand, Europe's fiscal challenges,https://www.bis.org/review/r100624a.pdf,https://www.bis.org/review/r100624a.pdf,1144,r100624a.pdf,0.0,-0.8534,neg
2010-06-25,Sada S Reddy, Fijian business - on the edge,https://www.bis.org/review/r100625b.pdf,https://www.bis.org/review/r100625b.pdf,1144,r100625b.pdf,1.0,0.9998,pos
2010-06-25,Thomas M Hoenig, The high cost of exceptionally low rates,https://www.bis.org/review/r100625f.pdf,https://www.bis.org/review/r100625f.pdf,1144,r100625f.pdf,1.0,0.9994,pos
2010-06-25,Njuguna Ndung'u, Financial inclusion through the agent banking model and credit reference bureaus,https://www.bis.org/review/r100625c.pdf,https://www.bis.org/review/r100625c.pdf,1144,r100625c.pdf,1.0,0.9996,pos
2010-06-25,Tim Lane, Risks to Canada's financial stability in an uncertain world,https://www.bis.org/review/r100625d.pdf,https://www.bis.org/review/r100625d.pdf,1144,r100625d.pdf,0.0,-0.9989,neg
2010-06-25,Muhammad bin Ibrahim, Sustainable financial inclusion,https://www.bis.org/review/r100625e.pdf,https://www.bis.org/review/r100625e.pdf,1144,r100625e.pdf,1.0,0.9993,pos
2010-06-29,Kiyohiko G Nishimura, Financial regulations - Asian perspectives,https://www.bis.org/review/r100629e.pdf,https://www.bis.org/review/r100629e.pdf,1144,r100629e.pdf,1.0,0.6237,pos
2010-06-29,Millison K Narh, Monetary policy and outlook for economic growth,https://www.bis.org/review/r100629f.pdf,https://www.bis.org/review/r100629f.pdf,1144,r100629f.pdf,1.0,0.9995,pos
2010-07-07,Duvvuri Subbarao," ""Central banks must distill lessons from the global crisis and make concrete reforms"" - interview in Finance and Developments",https://www.bis.org/review/r100707b.pdf,https://www.bis.org/review/r100707b.pdf,1142,r100707b.pdf,1.0,0.9931,pos
2010-07-07,Miguel Fernandez Ordonez, Presentation of the 2009 Annual Report,https://www.bis.org/review/r100707a.pdf,https://www.bis.org/review/r100707a.pdf,1142,r100707a.pdf,1.0,0.9996,pos
2010-07-07,Linah K Mohohlo, Governance beyond the financial crisis,https://www.bis.org/review/r100707d.pdf,https://www.bis.org/review/r100707d.pdf,1142,r100707d.pdf,1.0,0.9977,pos
2010-07-07,Joseph S Tracy, What the Fed did and why,https://www.bis.org/review/r100707e.pdf,https://www.bis.org/review/r100707e.pdf,1142,r100707e.pdf,1.0,0.8514,pos
2010-07-07,Kwesi Bekoe Amissah-Arthur, Risk management in well-capitalized banks,https://www.bis.org/review/r100707c.pdf,https://www.bis.org/review/r100707c.pdf,1142,r100707c.pdf,1.0,0.9919,pos
2010-07-09,"Amando M Tetangco, Jr", The BSP at 17 - moving the economy forward,https://www.bis.org/review/r100709b.pdf,https://www.bis.org/review/r100709b.pdf,1142,r100709b.pdf,1.0,0.9999,pos
2010-07-09,Hu Xiaolian, Law on real rights of the People's Republic of China,https://www.bis.org/review/r100709c.pdf,https://www.bis.org/review/r100709c.pdf,1142,r100709c.pdf,1.0,0.9989,pos
2010-07-09,Christian Noyer, G20 roadmap - how finance can help rebalance the world economy,https://www.bis.org/review/r100709a.pdf,https://www.bis.org/review/r100709a.pdf,1142,r100709a.pdf,1.0,0.9995,pos
2010-07-09,Gertrude Tumpel-Gugerell, The ECBs actions during the recent crisis and the policy elements needed for a sound recovery,https://www.bis.org/review/r100709e.pdf,https://www.bis.org/review/r100709e.pdf,1142,r100709e.pdf,1.0,0.9998,pos
